"","SERIALNO","SPORDER","AGEP","SEX","RAC1P","HISP","SCHL","HINCP","VEH","RELP","ADJINC","ST","YEAR"
"230","190860","2",50,2,1,2,18,72000,2,12,1.018237,"12",2011
"231","429773","2",65,2,1,1,16,43500,1,1,1.018389,"12",2008
"232","573462","1",87,2,1,16,13,28200,0,0,1.010207,"12",2012
"233","280719","2",83,1,1,1,16,67200,2,13,1.010207,"12",2012
"234","1309270","3",25,2,1,3,19,71000,3,2,1.007624,"12",2010
"235","000917375","1",53,2,2,1,16,33600,3,0,1.007588,"12",2016
"236","2017000056192","6",30,1,1,1,20,79600,3,9,1.011189,"12",2017
"237","802845","3",3,2,8,5,1,18000,0,2,1.016787,"12",2007
"238","566971","2",50,1,1,1,20,204000,2,1,1.007624,"9",2010
"239","305806","2",50,2,1,1,5,23000,1,2,1.015675,"12",2006
"240","1090892","1",57,1,1,1,13,-60000,-1,16,1.010207,"12",2012
"241","830613","1",55,2,1,1,18,51300,0,0,1.007549,"12",2013
"242","878247","1",49,2,2,1,16,23000,0,0,1.007624,"12",2010
"243","1459798","1",78,1,1,1,16,30000,2,0,1.007549,"12",2013
"244","1036397","1",41,2,1,1,21,130000,2,0,1.008425,"9",2014
"245","820507","1",33,2,1,1,12,70000,3,0,1.015675,"12",2006
"246","696918","1",61,1,1,1,14,238000,2,0,1.016787,"12",2007
"247","630716","2",55,2,1,1,9,11200,1,10,1.016787,"9",2007
"248","546726","3",24,2,1,4,16,24500,2,13,1.018237,"12",2011
"249","539256","1",41,1,1,1,13,180000,2,0,1.016787,"12",2007
"250","1082168","1",90,2,1,1,16,13200,1,0,1.001264,"12",2015
"251","1361675","3",25,2,2,9,21,64600,3,2,0.99948,"12",2009
"252","698412","1",65,1,1,1,21,112900,3,0,1.008425,"12",2014
"253","623354","1",87,2,1,1,16,16600,1,0,1.010207,"9",2012
"254","1434060","2",31,2,1,1,21,55600,1,1,1.010207,"12",2012
"255","000436631","2",4,2,1,1,1,11000,1,2,1.007588,"12",2016
"256","1383412","2",51,2,1,1,16,53500,3,1,1.008425,"12",2014
"257","000544441","1",84,1,1,1,22,33300,1,0,1.007588,"12",2016
"258","592278","1",67,1,6,1,15,204220,2,0,1.016787,"9",2007
"259","252855","1",74,1,1,1,21,20200,1,0,1.018389,"12",2008
"260","2017000415349","2",39,1,2,1,16,80000,2,1,1.011189,"12",2017
"261","855596","5",11,2,1,1,3,114900,3,2,1.015675,"12",2006
"262","486370","2",58,2,1,1,20,106490,2,1,1.008425,"12",2014
"263","871945","1",50,2,1,1,12,30110,2,0,1.016787,"12",2007
"264","725885","4",19,1,1,4,19,2e+05,3,2,1.007624,"12",2010
"265","894979","4",16,2,1,1,6,78500,2,2,1.015675,"12",2006
"266","000118761","2",85,2,1,1,22,26000,1,1,1.007588,"12",2016
"267","809204","4",13,2,1,1,9,80830,2,2,1.018389,"12",2008
"268","973352","5",14,2,1,1,11,45900,2,2,1.007549,"12",2013
"269","000216035","1",64,2,1,1,23,384000,1,0,1.007588,"12",2016
"270","1081667","1",66,1,1,1,16,49400,1,0,1.018237,"12",2011
"271","1191917","1",18,1,2,1,18,-60000,-1,17,1.010207,"12",2012
"272","1397619","4",18,1,1,1,14,75000,4,2,1.007549,"12",2013
"273","000548656","2",63,1,1,1,16,45000,2,1,1.007588,"12",2016
"274","342572","2",21,2,2,1,19,5500,1,2,1.010207,"12",2012
"275","851236","3",4,1,1,1,1,114000,2,2,1.007624,"12",2010
"276","1032948","2",36,2,1,1,21,94050,2,1,1.018389,"12",2008
"277","2017001358114","2",70,2,1,1,13,36700,1,1,1.011189,"12",2017
"278","1034291","2",16,1,1,1,13,124000,2,2,1.007624,"12",2010
"279","397873","1",19,2,1,1,19,-60000,-1,17,1.001264,"12",2015
"280","237471","2",71,2,1,1,22,149400,2,1,1.007624,"9",2010
"281","001410598","2",44,2,1,1,20,110000,2,13,1.007588,"12",2016
"282","698901","1",57,2,1,1,19,-60000,-1,16,1.018237,"12",2011
"283","000087110","2",72,2,1,1,19,50300,2,1,1.007588,"9",2016
"284","907492","2",60,2,2,1,13,37000,0,1,1.008425,"12",2014
"285","980927","1",35,2,1,1,22,60000,2,0,1.001264,"12",2015
"286","499455","2",14,1,1,23,4,13000,1,2,1.016787,"12",2007
"287","260935","3",11,2,2,1,8,35300,1,2,1.010207,"12",2012
"288","785760","2",49,1,1,1,21,110000,2,12,1.018389,"12",2008
"289","2017000105480","2",68,1,1,1,21,95500,2,1,1.011189,"12",2017
"290","2017001195385","1",32,1,1,1,21,173000,4,0,1.011189,"09",2017
"291","1312030","2",56,1,2,1,10,46000,3,2,1.015675,"12",2006
"292","571836","3",22,2,1,1,21,144000,3,2,1.001264,"12",2015
"293","2017001168575","2",79,2,1,1,21,23600,2,1,1.011189,"12",2017
"294","2017000592431","2",44,2,1,1,21,140000,2,1,1.011189,"09",2017
"295","2017001087580","2",54,1,1,1,19,86000,4,1,1.011189,"12",2017
"296","718314","2",40,2,1,1,20,118900,2,1,1.018389,"12",2008
"297","1402201","1",84,1,1,1,20,238600,1,0,1.008425,"12",2014
